date,category,total_units,total_value,stockout_skus,overstock_skus,instock_rate,carrying_cost
2024-01-23,Shipping,8108,374428.72,2,2,0.9759036144578314,187.17
2024-01-23,Technology,5487,1591019.2,7,31,0.9166666666666666,795.51
2024-01-24,Breakroom,9373,178369.38999999998,10,1,0.8913043478260869,89.19
2024-01-24,Furniture,6066,3594122.04,10,47,0.8863636363636364,1797.04
2024-01-24,Office Supplies,13159,420616.29,10,2,0.934640522875817,210.28
2024-01-24,Shipping,7956,361376.1,3,1,0.963855421686747,180.73
2024-01-24,Technology,5409,1552131.15,6,31,0.9285714285714286,776.1
2024-01-25,Breakroom,9073,172659.83000000002,9,1,0.9021739130434783,86.32
2024-01-25,Furniture,6065,3588308.71,9,44,0.8977272727272727,1794.14
2024-01-25,Office Supplies,13097,421185.29,8,1,0.9477124183006536,210.55
2024-01-25,Shipping,7776,356419.62,3,2,0.963855421686747,178.19
2024-01-25,Technology,5536,1549040.46,7,33,0.9166666666666666,774.58
2024-01-26,Breakroom,9611,180581.2,9,3,0.9021739130434783,90.33
2024-01-26,Furniture,6051,3572867.12,11,40,0.875,1786.42
2024-01-26,Office Supplies,13083,421148.93,8,2,0.9477124183006536,210.57999999999998
2024-01-26,Shipping,7953,362147.92,1,4,0.9879518072289156,181.05
2024-01-26,Technology,5492,1522853.1,8,33,0.9047619047619048,761.4300000000001
2024-01-27,Breakroom,9649,185817.98,5,3,0.9456521739130435,92.88
2024-01-27,Furniture,6244,3724006.73,6,43,0.9318181818181818,1861.98
2024-01-27,Office Supplies,13987,443931.39,5,3,0.9673202614379085,221.96
2024-01-27,Shipping,8428,387199.9,1,4,0.9879518072289156,193.60999999999999
2024-01-27,Technology,5610,1615027.04,8,35,0.9047619047619048,807.55
2024-01-28,Breakroom,9787,189020.3,5,3,0.9456521739130435,94.47
2024-01-28,Furniture,6326,3773942.1,6,46,0.9318181818181818,1886.94
2024-01-28,Office Supplies,13967,438603.58,7,2,0.954248366013072,219.26
2024-01-28,Shipping,8283,386540.52999999997,2,3,0.9759036144578314,193.25
2024-01-28,Technology,5572,1595107.49,6,33,0.9285714285714286,797.55
2024-01-29,Breakroom,9050,172921.93,5,3,0.9456521739130435,86.48
2024-01-29,Furniture,6177,3676757.63,8,46,0.9090909090909091,1838.3600000000001
2024-01-29,Office Supplies,13391,431403.39,9,3,0.9411764705882353,215.71
2024-01-29,Shipping,7762,366533.88,3,3,0.963855421686747,183.25
2024-01-29,Technology,5440,1638310.47,9,35,0.8928571428571429,819.14
2024-01-30,Breakroom,9168,173107.67,7,2,0.9239130434782609,86.54
2024-01-30,Furniture,6096,3633861.3,8,45,0.9090909090909091,1816.93
2024-01-30,Office Supplies,13187,425010.58,12,3,0.9215686274509803,212.5
2024-01-30,Shipping,7879,363889.31,2,5,0.9759036144578314,181.95
2024-01-30,Technology,5326,1584435.3699999999,8,33,0.9047619047619048,792.25
2024-01-31,Breakroom,9025,170004.07,7,1,0.9239130434782609,85.03
2024-01-31,Furniture,6071,3645407.65,10,46,0.8863636363636364,1822.71
2024-01-31,Office Supplies,12989,419399.02,9,3,0.9411764705882353,209.64
2024-01-31,Shipping,7767,351439.36,4,6,0.9518072289156626,175.72
2024-01-31,Technology,5412,1595096.1,7,32,0.9166666666666666,797.55
2024-02-01,Breakroom,9345,177875.07,4,2,0.9565217391304348,88.95
2024-02-01,Furniture,6037,3610994.4,10,45,0.8863636363636364,1805.47
2024-02-01,Office Supplies,12514,408251.95,12,1,0.9215686274509803,204.09
2024-02-01,Shipping,7833,356385.49,1,4,0.9879518072289156,178.2
2024-02-01,Technology,5322,1545493.26,7,31,0.9166666666666666,772.74
2024-02-02,Breakroom,9435,179213.51,5,1,0.9456521739130435,89.65
2024-02-02,Furniture,5926,3575418.04,10,44,0.8863636363636364,1787.7
2024-02-02,Office Supplies,12707,406482.98,14,1,0.9084967320261438,203.21
2024-02-02,Shipping,7658,345844.3,2,2,0.9759036144578314,172.93
2024-02-02,Technology,5237,1517039.0,9,31,0.8928571428571429,758.51
2024-02-03,Breakroom,9792,187843.66,3,1,0.967391304347826,93.97
2024-02-03,Furniture,6077,3659490.53,8,48,0.9090909090909091,1829.79
2024-02-03,Office Supplies,13807,447160.82,7,3,0.954248366013072,223.62
2024-02-03,Shipping,8216,365306.23,2,4,0.9759036144578314,182.63
2024-02-03,Technology,5324,1583999.31,8,31,0.9047619047619048,792.01
2024-02-04,Breakroom,9867,189064.23,2,1,0.9782608695652174,94.48
2024-02-04,Furniture,6199,3729998.57,5,48,0.9431818181818182,1865.03
2024-02-04,Office Supplies,14519,468983.59,6,4,0.9607843137254902,234.47
2024-02-04,Shipping,8400,381163.02,0,2,1.0,190.51
2024-02-04,Technology,5329,1646614.3399999999,7,30,0.9166666666666666,823.27
2024-02-05,Breakroom,9273,179705.77,4,0,0.9565217391304348,89.84
2024-02-05,Furniture,5987,3582761.27,9,45,0.8977272727272727,1791.41
2024-02-05,Office Supplies,14011,447549.16000000003,7,2,0.954248366013072,223.77
2024-02-05,Shipping,8085,367228.64,2,2,0.9759036144578314,183.62
2024-02-05,Technology,5272,1614167.01,8,30,0.9047619047619048,807.13
2024-02-06,Breakroom,9232,177986.82,8,1,0.9130434782608695,88.98
2024-02-06,Furniture,6113,3647381.12,10,46,0.8863636363636364,1823.71
2024-02-06,Office Supplies,13246,419476.15,9,1,0.9411764705882353,209.76
2024-02-06,Shipping,7706,354735.95,3,1,0.963855421686747,177.41
2024-02-06,Technology,5362,1586518.0999999999,9,32,0.8928571428571429,793.3
2024-02-07,Breakroom,9095,173166.15,6,0,0.9347826086956522,86.6
2024-02-07,Furniture,6003,3611348.95,9,43,0.8977272727272727,1805.7
2024-02-07,Office Supplies,13334,413190.49,9,2,0.9411764705882353,206.59
2024-02-07,Shipping,7362,342441.07,3,2,0.963855421686747,171.2
2024-02-07,Technology,5418,1549099.89,10,32,0.8809523809523809,774.55
2024-02-08,Breakroom,9285,179883.59,4,1,0.9565217391304348,89.94
2024-02-08,Furniture,6001,3619836.15,11,45,0.875,1809.89
2024-02-08,Office Supplies,12966,415394.08,11,4,0.9281045751633987,207.7
2024-02-08,Shipping,7748,353269.64,2,3,0.9759036144578314,176.66
2024-02-08,Technology,5286,1512011.2,10,31,0.8809523809523809,756.0
2024-02-09,Breakroom,9296,176760.47,4,1,0.9565217391304348,88.38
2024-02-09,Furniture,6013,3652855.4699999997,9,47,0.8977272727272727,1826.43
2024-02-09,Office Supplies,12725,412649.63,11,3,0.9281045751633987,206.3
2024-02-09,Shipping,8023,353166.41,3,5,0.963855421686747,176.61
2024-02-09,Technology,5208,1589962.14,11,33,0.8690476190476191,795.0
2024-02-10,Breakroom,9957,191512.32,4,1,0.9565217391304348,95.74
2024-02-10,Furniture,6187,3721849.39,7,47,0.9204545454545454,1860.89
2024-02-10,Office Supplies,13724,435869.24,5,2,0.9673202614379085,217.9
2024-02-10,Shipping,8112,354564.91,3,4,0.963855421686747,177.3
2024-02-10,Technology,5372,1626605.2,11,34,0.8690476190476191,813.3
2024-02-11,Breakroom,9978,191505.91999999998,2,1,0.9782608695652174,95.7
2024-02-11,Furniture,6357,3847630.15,5,53,0.9431818181818182,1923.82
2024-02-11,Office Supplies,14228,447462.11,6,3,0.9607843137254902,223.69
2024-02-11,Shipping,8177,367355.97,2,3,0.9759036144578314,183.7
2024-02-11,Technology,5478,1633663.3599999999,7,33,0.9166666666666666,816.8399999999999
2024-02-12,Breakroom,9519,184905.8,6,1,0.9347826086956522,92.44
2024-02-12,Furniture,6129,3711131.43,7,47,0.9204545454545454,1855.56
2024-02-12,Office Supplies,13215,423355.09,9,1,0.9411764705882353,211.67
2024-02-12,Shipping,7854,358941.78,1,4,0.9879518072289156,179.49
2024-02-12,Technology,5387,1579692.12,9,34,0.8928571428571429,789.86
2024-02-13,Breakroom,9082,176631.05,5,1,0.9456521739130435,88.26
2024-02-13,Furniture,6001,3622594.98,9,45,0.8977272727272727,1811.27
2024-02-13,Office Supplies,12746,414881.64,8,1,0.9477124183006536,207.43
2024-02-13,Shipping,7604,344848.05,3,2,0.963855421686747,172.42
2024-02-13,Technology,5302,1585871.54,11,31,0.8690476190476191,792.9300000000001
2024-02-14,Breakroom,8913,172412.05,6,1,0.9347826086956522,86.2
2024-02-14,Furniture,6043,3633414.37,9,46,0.8977272727272727,1816.71
2024-02-14,Office Supplies,12579,407269.94,9,2,0.9411764705882353,203.59
2024-02-14,Shipping,7590,348565.77,3,4,0.963855421686747,174.29
2024-02-14,Technology,5224,1543452.31,10,32,0.8809523809523809,771.75
2024-02-15,Breakroom,9051,174905.63,5,2,0.9456521739130435,87.42
2024-02-15,Furniture,5889,3542902.17,9,44,0.8977272727272727,1771.46
2024-02-15,Office Supplies,12560,408390.33,12,4,0.9215686274509803,204.22
2024-02-15,Shipping,7522,349215.02,2,2,0.9759036144578314,174.62
2024-02-15,Technology,5270,1514143.58,8,32,0.9047619047619048,757.09
2024-02-16,Breakroom,9286,176966.49,7,1,0.9239130434782609,88.47
2024-02-16,Furniture,5916,3572975.2199999997,10,43,0.8863636363636364,1786.51
2024-02-16,Office Supplies,12758,414126.6,11,5,0.9281045751633987,207.06
2024-02-16,Shipping,7621,355019.99,4,1,0.9518072289156626,177.51
2024-02-16,Technology,5279,1542122.13,9,32,0.8928571428571429,771.0600000000001
2024-02-17,Breakroom,9667,180620.13,3,1,0.967391304347826,90.31
2024-02-17,Furniture,5999,3615338.13,6,43,0.9318181818181818,1807.66
2024-02-17,Office Supplies,13872,437970.37,8,5,0.9477124183006536,219.0
2024-02-17,Shipping,8180,376133.27,3,3,0.963855421686747,188.07
2024-02-17,Technology,5481,1625295.88,8,34,0.9047619047619048,812.65
2024-02-18,Breakroom,9846,186250.26,5,3,0.9456521739130435,93.11
2024-02-18,Furniture,6190,3729043.91,8,47,0.9090909090909091,1864.54
2024-02-18,Office Supplies,14319,455043.18,7,4,0.954248366013072,227.5
2024-02-18,Shipping,7976,365908.53,1,3,0.9879518072289156,182.94
2024-02-18,Technology,5479,1633011.08,8,33,0.9047619047619048,816.49
2024-02-19,Breakroom,9141,175531.18,7,2,0.9239130434782609,87.75
2024-02-19,Furniture,5994,3625621.16,10,41,0.8863636363636364,1812.82
2024-02-19,Office Supplies,13638,431905.39,12,3,0.9215686274509803,215.96
2024-02-19,Shipping,7767,352247.57,1,4,0.9879518072289156,176.15
2024-02-19,Technology,5301,1570425.94,9,30,0.8928571428571429,785.24
2024-02-20,Breakroom,8937,171444.52,5,2,0.9456521739130435,85.7
2024-02-20,Furniture,6066,3665832.0,10,44,0.8863636363636364,1832.9
2024-02-20,Office Supplies,13067,420836.88,14,2,0.9084967320261438,210.41
2024-02-20,Shipping,7714,340793.38,3,2,0.963855421686747,170.41
2024-02-20,Technology,5241,1544259.54,9,31,0.8928571428571429,772.13
2024-02-21,Breakroom,8803,167562.62,5,2,0.9456521739130435,83.75
2024-02-21,Furniture,6040,3656889.54,10,44,0.8863636363636364,1828.3799999999999
2024-02-21,Office Supplies,12595,411442.94,12,4,0.9215686274509803,205.72
2024-02-21,Shipping,7652,351079.37,4,1,0.9518072289156626,175.54
2024-02-21,Technology,5236,1606951.04,10,31,0.8809523809523809,803.47
2024-02-22,Breakroom,9184,176271.0,8,2,0.9130434782608695,88.15
2024-02-22,Furniture,6068,3691189.12,10,46,0.8863636363636364,1845.6399999999999
2024-02-22,Office Supplies,12228,397664.21,13,2,0.9150326797385621,198.82
2024-02-22,Shipping,7417,348548.54,3,3,0.963855421686747,174.31
2024-02-22,Technology,5214,1592816.06,11,30,0.8690476190476191,796.38
2024-02-23,Breakroom,8863,170650.22,9,2,0.9021739130434783,85.32000000000001
2024-02-23,Furniture,5984,3621979.11,9,45,0.8977272727272727,1811.01
2024-02-23,Office Supplies,12492,397123.97000000003,13,3,0.9150326797385621,198.62
2024-02-23,Shipping,7587,356172.39,4,3,0.9518072289156626,178.05
2024-02-23,Technology,5209,1567051.8699999999,10,31,0.8809523809523809,783.52
2024-02-24,Breakroom,9163,175329.62,3,2,0.967391304347826,87.65
2024-02-24,Furniture,6174,3703991.75,8,49,0.9090909090909091,1851.96
2024-02-24,Office Supplies,13469,436612.82,8,5,0.9477124183006536,218.3
2024-02-24,Shipping,7799,369854.91,2,2,0.9759036144578314,184.94
2024-02-24,Technology,5451,1591045.2,9,34,0.8928571428571429,795.51
2024-02-25,Breakroom,9577,183513.96,2,2,0.9782608695652174,91.77
2024-02-25,Furniture,6235,3764672.14,8,47,0.9090909090909091,1882.29
2024-02-25,Office Supplies,13654,438622.26,8,4,0.9477124183006536,219.27
2024-02-25,Shipping,8099,373217.68,2,3,0.9759036144578314,186.59
2024-02-25,Technology,5497,1592951.48,9,34,0.8928571428571429,796.51
2024-02-26,Breakroom,9422,181461.58,3,2,0.967391304347826,90.74
2024-02-26,Furniture,6122,3729671.77,8,46,0.9090909090909091,1864.8
2024-02-26,Office Supplies,13047,425679.64,6,2,0.9607843137254902,212.85
2024-02-26,Shipping,7542,349133.08,2,3,0.9759036144578314,174.5
2024-02-26,Technology,5381,1606295.95,10,33,0.8809523809523809,803.15
2024-02-27,Breakroom,8999,173619.78,7,2,0.9239130434782609,86.82000000000001
2024-02-27,Furniture,5997,3643241.02,11,46,0.875,1821.64
2024-02-27,Office Supplies,12786,415784.9,7,3,0.954248366013072,207.91
2024-02-27,Shipping,7697,351551.13,2,4,0.9759036144578314,175.78
2024-02-27,Technology,5373,1577262.0,11,34,0.8690476190476191,788.69
2024-02-28,Breakroom,8628,169150.06,6,3,0.9347826086956522,84.58
2024-02-28,Furniture,5941,3613972.84,10,44,0.8863636363636364,1807.01
2024-02-28,Office Supplies,12521,402751.31,11,1,0.9281045751633987,201.32
2024-02-28,Shipping,7928,363740.89,4,6,0.9518072289156626,181.83
2024-02-28,Technology,5399,1578359.16,11,32,0.8690476190476191,789.21
2024-02-29,Breakroom,8857,170633.42,6,2,0.9347826086956522,85.29
2024-02-29,Furniture,5996,3712013.77,11,45,0.875,1855.99
2024-02-29,Office Supplies,12720,416716.73,12,1,0.9215686274509803,208.37
2024-02-29,Shipping,7841,357250.85,4,6,0.9518072289156626,178.62
2024-02-29,Technology,5359,1565491.54,9,32,0.8928571428571429,782.73
2024-03-01,Breakroom,9036,173934.5,5,3,0.9456521739130435,86.94
2024-03-01,Furniture,5958,3648340.04,9,45,0.8977272727272727,1824.18
2024-03-01,Office Supplies,12838,412092.64,8,3,0.9477124183006536,206.01
2024-03-01,Shipping,7807,366655.2,4,5,0.9518072289156626,183.32
2024-03-01,Technology,5301,1510834.75,10,35,0.8809523809523809,755.4
2024-03-02,Breakroom,9289,179882.13,5,2,0.9456521739130435,89.94
2024-03-02,Furniture,6185,3777203.65,8,49,0.9090909090909091,1888.61
2024-03-02,Office Supplies,13779,441578.95,7,1,0.954248366013072,220.77
2024-03-02,Shipping,8399,382355.51,3,3,0.963855421686747,191.19
2024-03-02,Technology,5398,1603718.07,6,37,0.9285714285714286,801.87
2024-03-03,Breakroom,9777,185588.8,4,3,0.9565217391304348,92.78
2024-03-03,Furniture,6291,3852383.42,7,50,0.9204545454545454,1926.22
2024-03-03,Office Supplies,14002,461800.67,9,4,0.9411764705882353,230.95
2024-03-03,Shipping,8467,381318.3,3,3,0.963855421686747,190.67
2024-03-03,Technology,5556,1600137.89,5,35,0.9404761904761905,800.08
2024-03-04,Breakroom,9740,179599.05,7,2,0.9239130434782609,89.8
2024-03-04,Furniture,6164,3761982.38,8,47,0.9090909090909091,1881.01
2024-03-04,Office Supplies,13114,425401.41,8,2,0.9477124183006536,212.68
2024-03-04,Shipping,7919,362347.41,3,4,0.963855421686747,181.15
2024-03-04,Technology,5457,1558201.57,8,32,0.9047619047619048,779.11
2024-03-05,Breakroom,9321,174701.3,7,1,0.9239130434782609,87.34
2024-03-05,Furniture,6130,3729635.46,11,45,0.875,1864.82
2024-03-05,Office Supplies,12842,408374.72000000003,12,1,0.9215686274509803,204.24
2024-03-05,Shipping,7993,368803.38,3,5,0.963855421686747,184.43
2024-03-05,Technology,5312,1514834.74,11,31,0.8690476190476191,757.42
2024-03-06,Breakroom,9023,170987.81,7,0,0.9239130434782609,85.48
2024-03-06,Furniture,6055,3650362.01,11,47,0.875,1825.16
2024-03-06,Office Supplies,12140,387114.92,13,1,0.9150326797385621,193.56
2024-03-06,Shipping,7615,355618.51,0,4,1.0,177.84
2024-03-06,Technology,5410,1501311.01,11,34,0.8690476190476191,750.65
2024-03-07,Breakroom,9058,177486.33,5,1,0.9456521739130435,88.76
2024-03-07,Furniture,5959,3600748.67,10,44,0.8863636363636364,1800.4
2024-03-07,Office Supplies,11969,386941.69,13,3,0.9150326797385621,193.46
2024-03-07,Shipping,7389,338645.61,3,1,0.963855421686747,169.33
2024-03-07,Technology,5372,1501780.79,14,32,0.8333333333333334,750.88
2024-03-08,Breakroom,8746,172904.58,10,1,0.8913043478260869,86.47
2024-03-08,Furniture,5935,3565286.94,10,43,0.8863636363636364,1782.68
2024-03-08,Office Supplies,12119,408717.54,16,5,0.8954248366013072,204.33
2024-03-08,Shipping,7675,357668.43,2,2,0.9759036144578314,178.83
2024-03-08,Technology,5266,1524335.04,13,31,0.8452380952380952,762.13
2024-03-09,Breakroom,9789,190003.08,3,1,0.967391304347826,95.01
2024-03-09,Furniture,6051,3649740.81,8,44,0.9090909090909091,1824.8799999999999
2024-03-09,Office Supplies,13425,431362.43,7,5,0.954248366013072,215.68
2024-03-09,Shipping,8057,358857.68,1,4,0.9879518072289156,179.43
2024-03-09,Technology,5456,1533218.8199999998,10,32,0.8809523809523809,766.61
2024-03-10,Breakroom,10470,200950.94999999998,4,1,0.9565217391304348,100.48
2024-03-10,Furniture,6143,3706595.94,7,44,0.9204545454545454,1853.34
2024-03-10,Office Supplies,14001,445111.15,7,4,0.954248366013072,222.61
2024-03-10,Shipping,8368,373203.1,1,4,0.9879518072289156,186.63
2024-03-10,Technology,5560,1588883.26,8,33,0.9047619047619048,794.41
2024-03-11,Breakroom,10028,186930.11,7,1,0.9239130434782609,93.4
2024-03-11,Furniture,6052,3655530.72,11,44,0.875,1827.8
2024-03-11,Office Supplies,13031,425751.04,8,1,0.9477124183006536,212.86
2024-03-11,Shipping,8060,369470.73,4,3,0.9518072289156626,184.72
2024-03-11,Technology,5421,1561266.13,12,29,0.8571428571428571,780.63
2024-03-12,Breakroom,9679,179755.15,8,1,0.9130434782608695,89.88
2024-03-12,Furniture,5947,3572770.23,10,42,0.8863636363636364,1786.41
2024-03-12,Office Supplies,13048,420585.04,9,3,0.9411764705882353,210.32
2024-03-12,Shipping,7751,352510.8,5,3,0.9397590361445783,176.23
2024-03-12,Technology,5282,1529689.8,15,32,0.8214285714285714,764.87
2024-03-13,Breakroom,9344,176671.43,5,1,0.9456521739130435,88.34
2024-03-13,Furniture,5901,3545898.2,11,43,0.875,1773.02
2024-03-13,Office Supplies,12480,408572.13,12,2,0.9215686274509803,204.22
2024-03-13,Shipping,7558,343780.33999999997,3,3,0.963855421686747,171.89
2024-03-13,Technology,5305,1574715.63,11,34,0.8690476190476191,787.35
2024-03-14,Breakroom,8830,167840.1,7,1,0.9239130434782609,83.9
2024-03-14,Furniture,5939,3567091.05,11,46,0.875,1783.53
