date,category,units_sold,revenue
2024-01-20,Office Supplies,1358,43361.3
2024-01-20,Shipping,627,24379.27
2024-01-20,Technology,250,77079.36
2024-01-21,Breakroom,936,19159.829999999998
2024-01-21,Furniture,271,152872.19
2024-01-21,Office Supplies,1457,46118.64
2024-01-21,Shipping,564,21817.18
2024-01-21,Technology,246,67521.73
2024-01-22,Breakroom,1698,33513.36
2024-01-22,Furniture,481,274323.59
2024-01-22,Office Supplies,2402,75806.48
2024-01-22,Shipping,970,37109.43
2024-01-22,Technology,412,117654.17
2024-01-23,Breakroom,1585,32745.86
2024-01-23,Furniture,491,282132.75
2024-01-23,Office Supplies,2465,77974.43000000001
2024-01-23,Shipping,1022,38364.9
2024-01-23,Technology,429,121677.75
2024-01-24,Breakroom,1647,32875.9
2024-01-24,Furniture,481,278711.94
2024-01-24,Office Supplies,2531,80340.56
2024-01-24,Shipping,1061,40639.41
2024-01-24,Technology,415,120246.12
2024-01-25,Breakroom,1685,33516.95
2024-01-25,Furniture,477,277626.94
2024-01-25,Office Supplies,2371,75373.64
2024-01-25,Shipping,1024,39540.09
2024-01-25,Technology,458,119801.85
2024-01-26,Breakroom,1528,30946.95
2024-01-26,Furniture,457,276118.35
2024-01-26,Office Supplies,2292,71830.95
2024-01-26,Shipping,1006,37341.89
2024-01-26,Technology,417,107806.53
2024-01-27,Breakroom,947,19328.15
2024-01-27,Furniture,258,151732.23
2024-01-27,Office Supplies,1480,45348.31
2024-01-27,Shipping,599,23306.17
2024-01-27,Technology,245,71963.28
2024-01-28,Breakroom,948,18916.76
2024-01-28,Furniture,256,147842.09
2024-01-28,Office Supplies,1467,45074.86
2024-01-28,Shipping,647,24347.69
2024-01-28,Technology,255,76712.52
2024-01-29,Breakroom,1586,32052.62
2024-01-29,Furniture,432,263051.05
2024-01-29,Office Supplies,2459,78240.56
2024-01-29,Shipping,975,38284.91
2024-01-29,Technology,459,128045.51
2024-01-30,Breakroom,1750,34220.35
2024-01-30,Furniture,445,255496.36
2024-01-30,Office Supplies,2382,73463.67
2024-01-30,Shipping,988,37278.26
2024-01-30,Technology,432,121787.69
2024-01-31,Breakroom,1621,32109.33
2024-01-31,Furniture,488,283288.19
2024-01-31,Office Supplies,2490,78679.81
2024-01-31,Shipping,1025,39433.45
2024-01-31,Technology,421,111067.28
2024-02-01,Breakroom,1602,32636.05
2024-02-01,Furniture,465,273551.86
2024-02-01,Office Supplies,2530,77320.51
2024-02-01,Shipping,973,37610.67
2024-02-01,Technology,420,120518.59999999999
2024-02-02,Breakroom,1658,33176.78
2024-02-02,Furniture,472,268291.14
2024-02-02,Office Supplies,2310,73658.53
2024-02-02,Shipping,1028,40849.24
2024-02-02,Technology,392,124330.9
2024-02-03,Breakroom,945,19097.4
2024-02-03,Furniture,296,172025.94
2024-02-03,Office Supplies,1461,46989.85
2024-02-03,Shipping,594,23575.93
2024-02-03,Technology,246,64658.28
2024-02-04,Breakroom,976,19413.06
2024-02-04,Furniture,266,156835.34
2024-02-04,Office Supplies,1373,42546.57
2024-02-04,Shipping,624,23244.99
2024-02-04,Technology,233,71801.43
2024-02-05,Breakroom,1581,30880.28
2024-02-05,Furniture,480,276385.92
2024-02-05,Office Supplies,2487,78855.44
2024-02-05,Shipping,1027,40363.27
2024-02-05,Technology,439,110915.95999999999
2024-02-06,Breakroom,1617,33830.67
2024-02-06,Furniture,447,262591.72
2024-02-06,Office Supplies,2472,79176.57
2024-02-06,Shipping,1018,38632.89
2024-02-06,Technology,443,139407.0
2024-02-07,Breakroom,1599,31616.489999999998
2024-02-07,Furniture,474,280519.03
2024-02-07,Office Supplies,2393,75790.38
2024-02-07,Shipping,1016,39366.68
2024-02-07,Technology,441,131970.23
2024-02-08,Breakroom,1669,33765.24
2024-02-08,Furniture,466,264901.68
2024-02-08,Office Supplies,2351,73894.33
2024-02-08,Shipping,1054,42058.88
2024-02-08,Technology,441,116073.23
2024-02-09,Breakroom,1641,32871.86
2024-02-09,Furniture,478,278279.08
2024-02-09,Office Supplies,2496,78977.51
2024-02-09,Shipping,1043,39806.86
2024-02-09,Technology,460,117930.45999999999
2024-02-10,Breakroom,966,19825.329999999998
2024-02-10,Furniture,272,158117.88
2024-02-10,Office Supplies,1402,44457.68
2024-02-10,Shipping,591,22675.67
2024-02-10,Technology,241,68973.66
2024-02-11,Breakroom,958,18912.99
2024-02-11,Furniture,250,148352.63
2024-02-11,Office Supplies,1419,43894.14
2024-02-11,Shipping,596,23839.27
2024-02-11,Technology,247,72981.13
2024-02-12,Breakroom,1673,33902.96
2024-02-12,Furniture,493,294078.58
2024-02-12,Office Supplies,2384,75506.12
2024-02-12,Shipping,1021,40027.04
2024-02-12,Technology,392,115921.29
2024-02-13,Breakroom,1646,32215.58
2024-02-13,Furniture,459,264537.15
2024-02-13,Office Supplies,2355,75928.78
2024-02-13,Shipping,999,38140.04
2024-02-13,Technology,426,124366.55
2024-02-14,Breakroom,1700,33980.22
2024-02-14,Furniture,478,289917.86
2024-02-14,Office Supplies,2407,77274.0
2024-02-14,Shipping,1029,41306.42
2024-02-14,Technology,429,127980.39
2024-02-15,Breakroom,1643,32859.77
2024-02-15,Furniture,485,276793.58
2024-02-15,Office Supplies,2498,79664.03
2024-02-15,Shipping,1070,38861.67
2024-02-15,Technology,427,132851.09
2024-02-16,Breakroom,1667,32820.26
2024-02-16,Furniture,491,288653.65
2024-02-16,Office Supplies,2422,76790.75
2024-02-16,Shipping,1015,39225.840000000004
2024-02-16,Technology,423,132066.26
2024-02-17,Breakroom,954,19223.62
2024-02-17,Furniture,291,167590.59
2024-02-17,Office Supplies,1437,45024.51
2024-02-17,Shipping,562,21471.28
2024-02-17,Technology,227,63727.49
2024-02-18,Breakroom,956,19250.69
2024-02-18,Furniture,279,168049.13999999998
2024-02-18,Office Supplies,1362,42090.17
2024-02-18,Shipping,590,22458.850000000002
2024-02-18,Technology,254,71389.83
2024-02-19,Breakroom,1494,30176.52
2024-02-19,Furniture,456,265688.23
2024-02-19,Office Supplies,2594,77864.79
2024-02-19,Shipping,999,39188.07
2024-02-19,Technology,416,111431.04
2024-02-20,Breakroom,1664,33268.71
2024-02-20,Furniture,446,243315.54
2024-02-20,Office Supplies,2422,77253.39
2024-02-20,Shipping,1041,40096.85
2024-02-20,Technology,432,115838.33
2024-02-21,Breakroom,1589,32228.82
2024-02-21,Furniture,474,270257.17
2024-02-21,Office Supplies,2463,77627.72
2024-02-21,Shipping,991,38900.86
2024-02-21,Technology,436,123856.4
2024-02-22,Breakroom,1631,33821.62
2024-02-22,Furniture,457,267295.89
2024-02-22,Office Supplies,2583,79912.55
2024-02-22,Shipping,1049,39996.12
2024-02-22,Technology,438,115387.65
2024-02-23,Breakroom,1682,34019.46
2024-02-23,Furniture,481,275056.07
2024-02-23,Office Supplies,2368,76266.79
2024-02-23,Shipping,1011,39964.07
2024-02-23,Technology,433,116778.17
2024-02-24,Breakroom,961,19609.41
2024-02-24,Furniture,256,154094.25
2024-02-24,Office Supplies,1455,45110.98
2024-02-24,Shipping,570,20068.84
2024-02-24,Technology,246,72399.37
2024-02-25,Breakroom,933,18838.39
2024-02-25,Furniture,260,142951.35
2024-02-25,Office Supplies,1466,45979.44
2024-02-25,Shipping,610,23589.93
2024-02-25,Technology,239,57441.31
2024-02-26,Breakroom,1547,31317.88
2024-02-26,Furniture,477,280171.97
2024-02-26,Office Supplies,2393,74612.67
2024-02-26,Shipping,946,36624.73
2024-02-26,Technology,387,123578.42
2024-02-27,Breakroom,1610,32307.0
2024-02-27,Furniture,504,290334.85
2024-02-27,Office Supplies,2469,75460.78
2024-02-27,Shipping,1068,41044.18
2024-02-27,Technology,427,121048.11
2024-02-28,Breakroom,1562,32168.09
2024-02-28,Furniture,465,258307.65
2024-02-28,Office Supplies,2508,78500.09
2024-02-28,Shipping,1022,38961.7
2024-02-28,Technology,451,116230.22
2024-02-29,Breakroom,1547,31346.43
2024-02-29,Furniture,455,257228.07
2024-02-29,Office Supplies,2431,76821.44
2024-02-29,Shipping,1087,40572.47
2024-02-29,Technology,430,115210.21
2024-03-01,Breakroom,1605,32774.58
2024-03-01,Furniture,464,271357.27999999997
2024-03-01,Office Supplies,2473,78257.72
2024-03-01,Shipping,1044,39147.2
2024-03-01,Technology,467,134256.71
2024-03-02,Breakroom,993,19668.02
2024-03-02,Furniture,264,154624.17
2024-03-02,Office Supplies,1447,46679.63
2024-03-02,Shipping,601,23571.19
2024-03-02,Technology,246,74789.99
2024-03-03,Breakroom,942,19715.920000000002
2024-03-03,Furniture,247,142856.31
2024-03-03,Office Supplies,1335,43253.95
2024-03-03,Shipping,590,21901.15
2024-03-03,Technology,238,74101.98
2024-03-04,Breakroom,1564,31514.69
2024-03-04,Furniture,497,287950.6
2024-03-04,Office Supplies,2423,77003.89
2024-03-04,Shipping,1009,39218.42
2024-03-04,Technology,429,116141.9
2024-03-05,Breakroom,1546,30442.98
2024-03-05,Furniture,493,293374.56
2024-03-05,Office Supplies,2460,78911.82
2024-03-05,Shipping,954,35421.44
2024-03-05,Technology,400,119750.01
2024-03-06,Breakroom,1683,34771.2
2024-03-06,Furniture,509,301887.07
2024-03-06,Office Supplies,2505,78719.99
2024-03-06,Shipping,1069,40281.56
2024-03-06,Technology,415,117637.04
2024-03-07,Breakroom,1569,31255.55
2024-03-07,Furniture,491,292849.77
2024-03-07,Office Supplies,2455,79250.43
2024-03-07,Shipping,1110,42370.75
2024-03-07,Technology,434,135636.46
2024-03-08,Breakroom,1712,34463.39
2024-03-08,Furniture,480,282588.84
2024-03-08,Office Supplies,2420,75977.1
2024-03-08,Shipping,1034,39491.69
2024-03-08,Technology,407,136433.79
2024-03-09,Breakroom,936,18346.010000000002
2024-03-09,Furniture,276,163674.36000000002
2024-03-09,Office Supplies,1395,44780.67
2024-03-09,Shipping,606,23301.04
2024-03-09,Technology,235,72511.39
2024-03-10,Breakroom,943,19750.76
2024-03-10,Furniture,279,157881.27
2024-03-10,Office Supplies,1371,42690.39
2024-03-10,Shipping,590,22342.79
2024-03-10,Technology,242,73330.78
2024-03-11,Breakroom,1647,33444.41
2024-03-11,Furniture,503,288649.69
2024-03-11,Office Supplies,2513,77629.82
2024-03-11,Shipping,1033,39648.03
2024-03-11,Technology,412,115887.89
2024-03-12,Breakroom,1623,32753.61
2024-03-12,Furniture,485,280017.43
2024-03-12,Office Supplies,2352,73794.3
2024-03-12,Shipping,998,38556.22
2024-03-12,Technology,450,112445.74
2024-03-13,Breakroom,1654,33853.15
2024-03-13,Furniture,453,266130.27
2024-03-13,Office Supplies,2381,75165.24
2024-03-13,Shipping,1027,40111.29
2024-03-13,Technology,395,113285.93
2024-03-14,Breakroom,1618,31974.35
2024-03-14,Furniture,452,265390.48
2024-03-14,Office Supplies,2485,80464.03
2024-03-14,Shipping,977,38430.63
2024-03-14,Technology,418,112004.12
2024-03-15,Breakroom,1574,31325.52
2024-03-15,Furniture,477,285819.69
2024-03-15,Office Supplies,2501,76414.79
2024-03-15,Shipping,971,37737.38
2024-03-15,Technology,430,107559.78
2024-03-16,Breakroom,955,19274.88
2024-03-16,Furniture,271,160380.0
2024-03-16,Office Supplies,1357,42517.72
2024-03-16,Shipping,612,23014.03
2024-03-16,Technology,242,68814.04
2024-03-17,Breakroom,965,19757.34
2024-03-17,Furniture,276,160927.5
2024-03-17,Office Supplies,1491,45228.66
2024-03-17,Shipping,650,24793.46
2024-03-17,Technology,238,74384.23
2024-03-18,Breakroom,1689,35250.24
2024-03-18,Furniture,467,267567.86
2024-03-18,Office Supplies,2485,76910.66
2024-03-18,Shipping,1092,42083.89
2024-03-18,Technology,433,128859.55
2024-03-19,Breakroom,1605,33190.39
2024-03-19,Furniture,473,274084.22000000003
2024-03-19,Office Supplies,2368,74078.4
2024-03-19,Shipping,995,38461.65
2024-03-19,Technology,432,109403.9
2024-03-20,Breakroom,1635,33349.04
2024-03-20,Furniture,440,249250.96
2024-03-20,Office Supplies,2552,82673.32
2024-03-20,Shipping,1073,40971.88
2024-03-20,Technology,426,125311.86
2024-03-21,Breakroom,1667,33589.16
2024-03-21,Furniture,436,252987.28
2024-03-21,Office Supplies,2370,73972.1
2024-03-21,Shipping,1050,41088.89
2024-03-21,Technology,402,121578.42
2024-03-22,Breakroom,1707,33514.97
2024-03-22,Furniture,471,271441.4
2024-03-22,Office Supplies,2439,77204.36
2024-03-22,Shipping,967,37981.34
2024-03-22,Technology,443,138660.97
2024-03-23,Breakroom,945,19909.97
2024-03-23,Furniture,245,143539.85
2024-03-23,Office Supplies,1400,42898.18
2024-03-23,Shipping,602,22597.06
2024-03-23,Technology,224,55187.39
2024-03-24,Breakroom,944,18920.69
2024-03-24,Furniture,273,162087.0
2024-03-24,Office Supplies,1374,42650.88
2024-03-24,Shipping,640,24419.33
2024-03-24,Technology,230,67304.57
2024-03-25,Breakroom,1590,32406.12
2024-03-25,Furniture,476,269676.81
2024-03-25,Office Supplies,2374,76846.34
2024-03-25,Shipping,1049,41109.78
2024-03-25,Technology,401,105183.28
2024-03-26,Breakroom,1569,31616.92
2024-03-26,Furniture,488,288891.94
2024-03-26,Office Supplies,2465,77082.31
2024-03-26,Shipping,1024,40766.75
2024-03-26,Technology,411,112903.15
2024-03-27,Breakroom,1652,32995.06
2024-03-27,Furniture,452,263878.08
2024-03-27,Office Supplies,2582,80496.97
2024-03-27,Shipping,1032,39807.52
2024-03-27,Technology,419,106649.09
2024-03-28,Breakroom,1572,32307.12
2024-03-28,Furniture,479,282189.04
2024-03-28,Office Supplies,2506,79207.55
2024-03-28,Shipping,1076,42965.05
2024-03-28,Technology,408,115422.5
2024-03-29,Breakroom,1611,32721.63
2024-03-29,Furniture,453,258410.9
2024-03-29,Office Supplies,2372,72233.69
2024-03-29,Shipping,1048,40577.15
2024-03-29,Technology,429,127800.76
2024-03-30,Breakroom,946,19098.17
2024-03-30,Furniture,251,138116.37
2024-03-30,Office Supplies,1411,44629.58
2024-03-30,Shipping,586,22590.17
2024-03-30,Technology,242,71925.67
2024-03-31,Breakroom,933,19053.45
2024-03-31,Furniture,275,162319.08
2024-03-31,Office Supplies,1440,46033.94
2024-03-31,Shipping,564,22010.01
2024-03-31,Technology,251,70257.65
2024-04-01,Breakroom,2301,46970.69
2024-04-01,Furniture,710,422447.22
2024-04-01,Office Supplies,3392,107890.94
2024-04-01,Shipping,1447,56136.69
2024-04-01,Technology,620,177022.62
2024-04-02,Breakroom,2359,46574.7
2024-04-02,Furniture,677,391497.48
2024-04-02,Office Supplies,3613,115477.36
2024-04-02,Shipping,1498,58665.520000000004
2024-04-02,Technology,647,172798.13
2024-04-03,Breakroom,2352,46905.15
2024-04-03,Furniture,677,390778.01
2024-04-03,Office Supplies,3380,109974.56
2024-04-03,Shipping,1556,57670.659999999996
2024-04-03,Technology,638,182341.47
2024-04-04,Breakroom,2215,45609.84
2024-04-04,Furniture,721,425638.56
2024-04-04,Office Supplies,3556,109580.96
2024-04-04,Shipping,1477,56231.84
2024-04-04,Technology,602,164845.83
2024-04-05,Breakroom,2311,46602.39
2024-04-05,Furniture,728,428602.66
2024-04-05,Office Supplies,3454,109403.5
2024-04-05,Shipping,1537,59057.090000000004
2024-04-05,Technology,589,162379.54
2024-04-06,Breakroom,1384,27395.31
2024-04-06,Furniture,398,231255.53
2024-04-06,Office Supplies,2209,69730.63
2024-04-06,Shipping,983,37776.64
2024-04-06,Technology,377,96576.70999999999
2024-04-07,Breakroom,1465,29985.05
2024-04-07,Furniture,409,240073.25
2024-04-07,Office Supplies,2058,64289.05
2024-04-07,Shipping,813,32235.29
2024-04-07,Technology,388,111864.06999999999
2024-04-08,Breakroom,2355,46704.99
2024-04-08,Furniture,704,421053.78
2024-04-08,Office Supplies,3638,116341.27
2024-04-08,Shipping,1498,58392.35
2024-04-08,Technology,713,180032.45
2024-04-09,Breakroom,2248,44803.97
2024-04-09,Furniture,705,419538.8
2024-04-09,Office Supplies,3511,112141.99
2024-04-09,Shipping,1497,58540.98
2024-04-09,Technology,651,191797.88
2024-04-10,Breakroom,2290,47131.9
2024-04-10,Furniture,720,423670.74
2024-04-10,Office Supplies,3525,111368.31999999999
2024-04-10,Shipping,1370,51056.58
2024-04-10,Technology,622,169543.84
2024-04-11,Breakroom,2269,45381.13
2024-04-11,Furniture,750,421725.36
2024-04-11,Office Supplies,3594,112264.26
2024-04-11,Shipping,1592,61908.47
2024-04-11,Technology,664,206476.07
2024-04-12,Breakroom,2338,48540.28
2024-04-12,Furniture,679,385863.32
2024-04-12,Office Supplies,3429,107997.41
2024-04-12,Shipping,1509,58755.07
2024-04-12,Technology,611,166597.49
2024-04-13,Breakroom,1442,28588.71
2024-04-13,Furniture,418,242637.82
2024-04-13,Office Supplies,2097,65950.3
2024-04-13,Shipping,941,35868.84
2024-04-13,Technology,373,96429.58
2024-04-14,Breakroom,1389,27948.23
2024-04-14,Furniture,405,243839.32
2024-04-14,Office Supplies,2027,63498.57
2024-04-14,Shipping,831,32600.41
2024-04-14,Technology,379,111226.44
2024-04-15,Breakroom,2204,45373.21
2024-04-15,Furniture,730,431024.3
2024-04-15,Office Supplies,3480,110784.01
2024-04-15,Shipping,1411,55060.93
2024-04-15,Technology,628,199474.9
2024-04-16,Breakroom,2358,47667.93
2024-04-16,Furniture,693,386572.58999999997
2024-04-16,Office Supplies,3348,105906.94
2024-04-16,Shipping,1374,52804.99
2024-04-16,Technology,594,192405.89
2024-04-17,Breakroom,2250,44282.61
2024-04-17,Furniture,684,397626.21
2024-04-17,Office Supplies,3573,111594.25
2024-04-17,Shipping,1455,58053.01
2024-04-17,Technology,613,182918.23
2024-04-18,Breakroom,2319,47046.9
2024-04-18,Furniture,725,425211.99
2024-04-18,Office Supplies,3513,110147.6
2024-04-18,Shipping,1538,58652.34
2024-04-18,Technology,653,171841.97
2024-04-19,Breakroom,2302,46403.46
2024-04-19,Furniture,675,389513.77
2024-04-19,Office Supplies,3482,106975.31
2024-04-19,Shipping,1477,58398.77
2024-04-19,Technology,627,161610.37
2024-04-20,Breakroom,1336,27472.39
2024-04-20,Furniture,391,226330.87
2024-04-20,Office Supplies,2062,63288.99
2024-04-20,Shipping,838,33483.37
2024-04-20,Technology,351,103788.74
2024-04-21,Breakroom,1400,27850.2
2024-04-21,Furniture,418,242734.32
2024-04-21,Office Supplies,2072,64675.56
2024-04-21,Shipping,851,32959.81
2024-04-21,Technology,359,103954.59
2024-04-22,Breakroom,2368,48409.86
2024-04-22,Furniture,668,380616.56
2024-04-22,Office Supplies,3528,113132.59
2024-04-22,Shipping,1332,52423.38
2024-04-22,Technology,632,166537.55
2024-04-23,Breakroom,2265,44944.72
2024-04-23,Furniture,694,415831.74
2024-04-23,Office Supplies,3601,112149.73
2024-04-23,Shipping,1455,55658.89
2024-04-23,Technology,631,178657.84
2024-04-24,Breakroom,2368,49076.78
2024-04-24,Furniture,653,386288.45
2024-04-24,Office Supplies,3283,105848.92
2024-04-24,Shipping,1404,53702.82
2024-04-24,Technology,649,202559.32
2024-04-25,Breakroom,2343,46951.33
2024-04-25,Furniture,691,390427.47
2024-04-25,Office Supplies,3458,110237.95
2024-04-25,Shipping,1386,54172.05
2024-04-25,Technology,654,184348.38
2024-04-26,Breakroom,2272,46980.05
2024-04-26,Furniture,704,414067.01
2024-04-26,Office Supplies,3526,112612.07
2024-04-26,Shipping,1493,59332.909999999996
2024-04-26,Technology,608,182102.12
2024-04-27,Breakroom,1332,27512.4
2024-04-27,Furniture,400,231226.07
2024-04-27,Office Supplies,2031,63521.18
2024-04-27,Shipping,827,30489.61
2024-04-27,Technology,319,89825.51
2024-04-28,Breakroom,1418,28724.54
2024-04-28,Furniture,386,227942.81
2024-04-28,Office Supplies,1979,63510.26
2024-04-28,Shipping,869,34140.57
2024-04-28,Technology,359,88512.77
2024-04-29,Breakroom,2312,45669.25
2024-04-29,Furniture,706,405191.99
2024-04-29,Office Supplies,3402,109731.8
2024-04-29,Shipping,1524,61548.06
2024-04-29,Technology,636,181561.4
2024-04-30,Breakroom,2274,45890.11
2024-04-30,Furniture,688,398227.54
2024-04-30,Office Supplies,3568,110306.57
2024-04-30,Shipping,1538,59221.77
2024-04-30,Technology,702,191553.72
2024-05-01,Breakroom,2345,48228.07
2024-05-01,Furniture,698,409835.68
2024-05-01,Office Supplies,3497,110656.84
2024-05-01,Shipping,1495,56556.73
2024-05-01,Technology,629,190571.47
2024-05-02,Breakroom,2349,48998.25
2024-05-02,Furniture,703,401639.56
2024-05-02,Office Supplies,3544,109429.23
2024-05-02,Shipping,1484,57315.76
2024-05-02,Technology,632,191430.3
2024-05-03,Breakroom,2350,49233.78
2024-05-03,Furniture,724,432703.65
2024-05-03,Office Supplies,3380,104820.07
2024-05-03,Shipping,1494,57013.27
2024-05-03,Technology,651,199861.9
2024-05-04,Breakroom,1434,29313.71
2024-05-04,Furniture,406,236234.8
2024-05-04,Office Supplies,2156,66378.42
2024-05-04,Shipping,894,35282.8
2024-05-04,Technology,369,98441.64
2024-05-05,Breakroom,1437,28227.93
2024-05-05,Furniture,423,249750.51
2024-05-05,Office Supplies,2119,67907.33
2024-05-05,Shipping,872,33453.23
2024-05-05,Technology,327,90517.3
2024-05-06,Breakroom,2446,50322.5
2024-05-06,Furniture,694,398099.48
2024-05-06,Office Supplies,3412,109436.16
2024-05-06,Shipping,1375,55699.79
2024-05-06,Technology,605,159105.30000000002
2024-05-07,Breakroom,2249,45240.64
2024-05-07,Furniture,719,421990.95
2024-05-07,Office Supplies,3549,111915.15
2024-05-07,Shipping,1487,54989.61
2024-05-07,Technology,684,213369.78
2024-05-08,Breakroom,2187,43754.74
2024-05-08,Furniture,659,384607.05
2024-05-08,Office Supplies,3412,111226.79
2024-05-08,Shipping,1412,53644.81
2024-05-08,Technology,643,188717.01
2024-05-09,Breakroom,2310,47054.08
2024-05-09,Furniture,701,408859.08
2024-05-09,Office Supplies,3511,112151.43
2024-05-09,Shipping,1504,57245.16
2024-05-09,Technology,661,196466.66
2024-05-10,Breakroom,2360,48684.52
2024-05-10,Furniture,719,409291.57
2024-05-10,Office Supplies,3568,111209.68000000001
2024-05-10,Shipping,1429,55006.58
2024-05-10,Technology,681,194832.57
2024-05-11,Breakroom,1321,26486.02
2024-05-11,Furniture,400,234363.1
2024-05-11,Office Supplies,2037,66679.12
2024-05-11,Shipping,868,32337.58
2024-05-11,Technology,370,99560.24
2024-05-12,Breakroom,1354,27305.42
2024-05-12,Furniture,416,240234.63
2024-05-12,Office Supplies,2168,68162.43000000001
2024-05-12,Shipping,903,33509.26
2024-05-12,Technology,368,96719.89
2024-05-13,Breakroom,2399,48639.83
2024-05-13,Furniture,703,408775.7
2024-05-13,Office Supplies,3545,114457.78
2024-05-13,Shipping,1399,56362.03
2024-05-13,Technology,584,185233.55
2024-05-14,Breakroom,2255,45254.41
2024-05-14,Furniture,728,432658.31
2024-05-14,Office Supplies,3436,109911.13
2024-05-14,Shipping,1463,55006.89
2024-05-14,Technology,699,173809.24
2024-05-15,Breakroom,2214,44722.21
2024-05-15,Furniture,674,395376.33999999997
2024-05-15,Office Supplies,3411,107640.57
2024-05-15,Shipping,1495,57263.91
2024-05-15,Technology,634,191979.4
2024-05-16,Breakroom,2294,47058.13
2024-05-16,Furniture,685,395504.26
2024-05-16,Office Supplies,3318,107614.07
2024-05-16,Shipping,1374,52368.0
2024-05-16,Technology,612,169444.87
2024-05-17,Breakroom,2260,45088.52
2024-05-17,Furniture,726,436897.32
2024-05-17,Office Supplies,3411,110976.7
2024-05-17,Shipping,1686,65614.49
2024-05-17,Technology,655,166168.46
2024-05-18,Breakroom,1300,27345.73
2024-05-18,Furniture,407,245315.03
2024-05-18,Office Supplies,2052,63322.8
2024-05-18,Shipping,869,33349.090000000004
2024-05-18,Technology,350,89916.77
2024-05-19,Breakroom,1446,29218.14
2024-05-19,Furniture,396,231985.3
2024-05-19,Office Supplies,1984,64123.97
